column,missing_count,missing_percentage
the_rank_2024,3418,96.8271954674221
qs_rank_2025,2930,83.0028328611898
qs_overall_score,2930,83.0028328611898
wb_youth_literacy_15_24_pct_2015,2923,82.80453257790367
wb_tertiary_graduation_ratio_2015,2444,69.23512747875354
wb_tertiary_pupil_teacher_ratio_2015,2228,63.11614730878187
qs_international_faculty_score,2127,60.25495750708215
qs_international_students_score,2085,59.06515580736544
qs_sustainability_score,2046,57.960339943342774
country_code,2027,57.422096317280456
qs_faculty_student_score,2027,57.422096317280456
qs_employment_outcomes_score,2027,57.422096317280456
qs_academic_reputation_score,2027,57.422096317280456
qs_employer_reputation_score,2027,57.422096317280456
qs_citations_per_faculty_score,2027,57.422096317280456
wb_tertiary_graduates_2015,1903,53.90934844192634
the_rank_2023,1833,51.92634560906516
the_international_outlook_score_2023,1809,51.24645892351275
the_research_score_2023,1809,51.24645892351275
the_overall_score_2023,1809,51.24645892351275
the_industry_income_score_2023,1809,51.24645892351275
the_teaching_score_2023,1809,51.24645892351275
the_citations_score_2023,1809,51.24645892351275
the_overall_score_2024,1624,46.005665722379604
the_industry_income_score_2024,1624,46.005665722379604
the_international_outlook_score_2024,1624,46.005665722379604
the_citations_score_2024,1624,46.005665722379604
the_teaching_score_2024,1624,46.005665722379604
the_research_score_2024,1624,46.005665722379604
the_international_students_pct_2023,1297,36.742209631728045
the_student_staff_ratio_2023,1297,36.742209631728045
the_female_percentage_2023,1297,36.742209631728045
wb_tertiary_enrollment_ratio_2015,1186,33.597733711048164
wb_female_tertiary_students_pct_2015,1103,31.246458923512748
the_international_students_pct_2024,859,24.3342776203966
the_female_percentage_2024,859,24.3342776203966
the_student_staff_ratio_2024,859,24.3342776203966
wb_2alpha_code,66,1.8696883852691217
wb_income_group,64,1.8130311614730876
wb_region,64,1.8130311614730876
wb_country_name,64,1.8130311614730876
wb_country_code,64,1.8130311614730876
wb_long_name,64,1.8130311614730876
university_id,0,0.0
country_name_canonical,0,0.0
qs_present,0,0.0
university_name,0,0.0
country_name,0,0.0
the24_present,0,0.0
worldbank_match_key,0,0.0
the23_present,0,0.0
worldbank_linked,0,0.0
worldbank_education_2015_linked,0,0.0
